url,title,topic_cluster,parent_page,search_intent,likely_keyword_target,has_faq_schema,has_updated_field,word_count_estimate,potential_cannibalization,missing_cluster_topics
/medicare,Medicare Explained: Parts A B C & D Guide,Medicare Core,/,informational/commercial,medicare explained miami / what is medicare,no,no,~1200,,Medicare enrollment dates; Medicare costs explained; Medicare for immigrants
/medicare-coverage/understanding-medicare-parts-a-b-c-d,Understanding Medicare: Parts A B C & D,Medicare Core,/medicare,informational,what are the different parts of medicare,no,no,~2500,Overlaps /medicare service page,
/medicare-coverage/medicare-simplified,Medicare Simplified,Medicare Core,/medicare,informational,medicare simplified / medicare overview,no,no,~2000,Overlaps /medicare and /understanding-medicare-parts-a-b-c-d,
/medicare-coverage/medicare-enrollment-and-costs,Medicare Enrollment & Costs,Medicare Core,/medicare,informational,how much does medicare cost / when to enroll in medicare,no,no,~2500,,
/resources/faq/what-is-medicare-and-who-is-eligible,What Is Medicare and Who Is Eligible?,Medicare Core,/resources,informational,what is medicare and who is eligible,yes,no,~900,Overlaps /medicare and /understanding-medicare-parts-a-b-c-d,
/resources/faq/what-are-the-different-parts-of-medicare,What Are the Different Parts of Medicare?,Medicare Core,/resources,informational,parts of medicare explained,yes,no,~900,Overlaps /understanding-medicare-parts-a-b-c-d and /medicare-simplified,
/resources/faq/when-should-i-sign-up-for-medicare,When Should I Sign Up for Medicare?,Medicare Enrollment,/resources,informational,when to sign up for medicare,yes,no,~900,,
/resources/faq/what-happens-if-i-miss-my-enrollment-window,What Happens If I Miss My Medicare Enrollment Window?,Medicare Enrollment,/resources,informational,missed medicare enrollment window,yes,no,~900,,
/resources/faq/can-i-delay-enrolling-in-medicare-part-b,Can I Delay Enrolling in Medicare Part B?,Medicare Enrollment,/resources,informational,delay medicare part b enrollment,yes,no,~800,,
/resources/faq/how-much-does-medicare-cost,How Much Does Medicare Cost? Is It Free?,Medicare Enrollment,/resources,informational,how much does medicare cost,yes,no,~900,Overlaps /medicare-coverage/medicare-enrollment-and-costs,
/resources/faq/how-does-medicare-work-with-employer-coverage,How Does Medicare Work With Employer Coverage?,Medicare Enrollment,/resources,informational,medicare and employer insurance,yes,no,~800,,
/resources/faq/can-i-change-my-medicare-plan,Can I Change My Medicare Plan Later?,Medicare Enrollment,/resources,informational,change medicare plan,yes,no,~700,,
/tools/medicare-enrollment-calculator,Medicare Enrollment Calculator,Medicare Enrollment,/tools,informational/transactional,medicare enrollment calculator / initial enrollment period calculator,no,no,~500,,
/tools/part-b-penalty-calculator,Part B Late Enrollment Penalty Calculator,Medicare Enrollment,/tools,informational/transactional,medicare part b penalty calculator,no,no,~500,,
/tools/part-d-penalty-calculator,Part D Late Enrollment Penalty Calculator,Medicare Enrollment,/tools,informational/transactional,medicare part d penalty calculator,no,no,~500,,
/tools/irmaa-calculator,2026 IRMAA Calculator,Medicare Enrollment,/tools,informational/transactional,irmaa calculator 2026 / medicare irmaa surcharge,no,no,~600,,
/blogs/turning-65-in-florida-your-complete-medicare-enrollment-checklist,Turning 65 in Florida: Your Complete Medicare Enrollment Checklist,Medicare Enrollment,/blogs,informational,turning 65 medicare checklist florida,no,no,~2000,,
/blogs/medicare-enrollment-and-costs-faq-2026,Medicare Enrollment and Costs FAQ 2026,Medicare Enrollment,/blogs,informational,medicare enrollment 2026 / medicare costs 2026,yes,no,~2000,Overlaps /medicare-coverage/medicare-enrollment-and-costs,
/resources/faq/what-is-irmaa,What Is IRMAA?,Medicare Enrollment,/resources,informational,what is irmaa medicare,yes,no,~800,Overlaps /tools/irmaa-calculator,
/medicare-coverage/medicare-advantage-plans,Medicare Advantage Plans,Medicare Advantage,/medicare,informational/commercial,medicare advantage plans / what is medicare advantage,no,no,~3000,,
/medicare-coverage/medicare-advantage-vs-medigap,Medicare Advantage vs. Medigap,Medicare Advantage vs Medigap,/medicare-coverage,commercial,medicare advantage vs medigap,no,no,~2500,Overlaps /blogs/medicare-advantage-vs-medicare-supplement-plans-in-florida-which-is-right-for-you,
/blogs/medicare-advantage-vs-medicare-supplement-plans-in-florida-which-is-right-for-you,Medicare Advantage vs. Medicare Supplement Plans in Florida,Medicare Advantage vs Medigap,/blogs,commercial,medicare advantage vs supplement plans florida,yes,no,~2000,Overlaps /medicare-coverage/medicare-advantage-vs-medigap,Consider merging
/blogs/how-does-medicare-part-c-compare-to-original-medicare-in-florida,How Does Medicare Part C Compare to Original Medicare in Florida?,Medicare Advantage vs Medigap,/blogs,commercial,medicare part c vs original medicare florida,no,no,~1800,Partial overlap with advantage vs medigap cluster,
/blogs/medicare-advantage-vs-private-health-insurance-in-florida,Medicare Advantage vs. Private Health Insurance in Florida,Medicare Advantage vs Medigap,/blogs,commercial,medicare advantage vs private health insurance florida,no,no,~1500,,
/resources/faq/what-is-medicare-advantage,What Is Medicare Advantage?,Medicare Advantage,/resources,informational,what is medicare advantage,yes,no,~900,Overlaps /medicare-coverage/medicare-advantage-plans,
/resources/faq/difference-between-original-medicare-advantage-and-medigap,Difference Between Original Medicare Advantage and Medigap,Medicare Advantage vs Medigap,/resources,informational,difference original medicare advantage medigap,yes,no,~1000,Overlaps /medicare-coverage/medicare-advantage-vs-medigap,
/medicare-coverage/medicare-supplement-plans-medigap,Medicare Supplement Plans (Medigap),Medigap,/medicare,informational/commercial,medicare supplement plans medigap / medigap florida,no,no,~3000,,
/resources/faq/what-is-medigap,What Is Medigap?,Medigap,/resources,informational,what is medigap,yes,no,~1000,Overlaps /medicare-coverage/medicare-supplement-plans-medigap,
/resources/faq/what-is-medicare-plan-g,What Is Medicare Plan G?,Medigap,/resources,informational,what is medicare plan g / medigap plan g,yes,no,~1000,,
/resources/faq/can-i-change-my-supplement-plan-during-annual-enrollment,Can I Change My Medicare Supplement Plan During Annual Enrollment?,Medigap,/resources,informational,change medigap plan annual enrollment,yes,no,~800,,
/blogs/whats-the-difference-between-medigap-plan-g-vs-plan-n-in-florida,What's the Difference Between Medigap Plan G vs Plan N in Florida?,Medigap,/blogs,commercial,medigap plan g vs plan n florida,no,no,~1800,,
/blogs/which-medicare-plan-is-better-for-dental-and-vision-coverage,Which Medicare Plan Is Better for Dental and Vision Coverage?,Medigap,/blogs,commercial,medicare dental vision coverage,no,no,~1800,,
/blogs/why-some-doctors-prefer-patients-with-medicare-supplement-plans,Why Some Doctors Prefer Patients With Medicare Supplement Plans,Medigap,/blogs,informational,doctors medicare supplement medigap,no,no,~1500,,
/blogs/youre-retiring-at-68--did-you-miss-your-medigap-enrollment-window,You're Retiring at 68 — Did You Miss Your Medigap Enrollment Window?,Medigap,/blogs,informational,medigap enrollment window retiring late,no,no,~1400,,
/medicare-coverage/part-d-prescription-drug-plans,Part D Prescription Drug Plans,Part D,/medicare,informational/commercial,medicare part d prescription drug plans,no,no,~2500,,
/resources/faq/what-is-extra-help-for-medicare-prescription-drugs,What Is Extra Help for Medicare Prescription Drugs?,Part D,/resources,informational,extra help medicare part d / low income subsidy,yes,no,~800,,
/resources/faq/how-does-medicare-cover-insulin,How Does Medicare Cover Insulin and What Is the $35 Cap?,Part D,/resources,informational,medicare insulin coverage $35 cap,yes,no,~700,,
/resources/faq/what-is-the-medicare-glp1-bridge-program,What Is the Medicare GLP-1 Bridge Program?,Part D,/resources,informational,medicare glp1 bridge program,yes,no,~700,,
/blogs/what-is-the-difference-between-medicare-part-a-and-part-b,What Is the Difference Between Medicare Part A and Part B,Medicare Core,/blogs,informational,difference between medicare part a and part b,no,no,~1800,,
/blogs/what-is-the-difference-between-hmo-and-ppo-medicare-advantage-plans,What Is the Difference Between HMO and PPO Medicare Advantage Plans?,Medicare Advantage,/blogs,informational,hmo vs ppo medicare advantage,no,no,~1500,,
/blogs/which-medicare-plan-has-lower-out-of-pocket-costs,Which Medicare Plan Has Lower Out-of-Pocket Costs?,Medicare Advantage vs Medigap,/blogs,commercial,medicare plan lower out of pocket costs,no,no,~1600,,
/blogs/which-medicare-plan-is-best-for-people-with-chronic-conditions-in-florida,Which Medicare Plan Is Best for People With Chronic Conditions in Florida?,Medicare Advantage vs Medigap,/blogs,commercial,best medicare plan chronic conditions florida,no,no,~1800,,
/blogs/which-medicare-plan-is-better-for-frequent-doctor-visits-in-florida,Which Medicare Plan Is Better for Frequent Doctor Visits in Florida?,Medicare Advantage vs Medigap,/blogs,commercial,medicare plan frequent doctor visits florida,no,no,~1600,,
/blogs/which-medicare-plan-is-better-for-specialist-visits,Which Medicare Plan Is Better for Specialist Visits?,Medicare Advantage vs Medigap,/blogs,commercial,medicare specialist visits plan,no,no,~1500,,
/blogs/which-medicare-option-works-best-for-snowbirds,Which Medicare Option Works Best for Snowbirds?,Medicare Advantage vs Medigap,/blogs,commercial,medicare snowbirds florida,no,no,~1500,,
/blogs/how-does-medicare-advantage-compare-to-medigap-for-travel-coverage,How Does Medicare Advantage Compare to Medigap for Travel Coverage?,Medicare Advantage vs Medigap,/blogs,commercial,medicare advantage vs medigap travel coverage,no,no,~1500,,
/medicare-broker-miami,Medicare Broker in Miami FL,Local SEO — Miami,/,navigational/commercial,medicare broker miami fl,no,no,~1200,,
/medicare-broker-south-florida,Medicare Broker South Florida,Local SEO — South Florida,/,navigational/commercial,medicare broker south florida,no,no,~1200,,
/medicare-broker-kendall,Medicare Broker in Kendall FL,Local SEO — Kendall,/,navigational/commercial,medicare broker kendall fl,no,no,~1000,,Missing local landing pages: Doral / Coral Gables / Hialeah / Homestead / Fort Lauderdale
/medicare-broker-near-me,Medicare Broker Near Me,Local SEO — Generic,/,navigational/commercial,medicare broker near me,no,no,~1000,,
/health-insurance-broker-miami,Health Insurance Broker in Miami FL,Local SEO — Health Insurance,/,navigational/commercial,health insurance broker miami,no,no,~1000,,
/blogs/medicare-broker-near-me (blog post),How a Medicare Broker Near Me Helped Local Seniors Find Better Coverage,Local SEO — Generic,/blogs,informational/commercial,medicare broker near me helped,no,no,~1500,Overlaps /medicare-broker-near-me landing page,
/blogs/how-to-find-the-right-medicare-broker-near-me-in-florida,How to Find the Right Medicare Broker Near Me in Florida,Local SEO — Generic,/blogs,informational/commercial,how to find medicare broker near me florida,no,no,~1800,Overlaps above + /medicare-broker-near-me,
/blogs/why-a-medicare-agent-near-me-may-be-better-than-insurance-comparison-websites,Why a Medicare Agent Near Me May Be Better Than Insurance Comparison Websites,Local SEO — Generic,/blogs,informational,medicare agent near me vs comparison websites,no,no,~1500,,
/blogs/medicare-in-miami-2026,Medicare in Miami 2026,Local SEO — Miami,/blogs,informational/commercial,medicare miami 2026,no,no,~2000,,
/resources/faq/how-does-a-medicare-broker-get-paid,How Does a Medicare Broker Get Paid?,Agency/Trust,/resources,informational,how does a medicare broker get paid,yes,no,~700,,
/resources/faq/how-do-i-get-help-choosing-the-right-medicare-plan,How Do I Get Help Choosing the Right Medicare Plan?,Agency/Trust,/resources,commercial,help choosing medicare plan,yes,no,~700,,
/blogs/why-the-lowest-premium-might-cost-you-more-in-the-long-run,Why the Lowest Premium Might Cost You More in the Long Run,Agency/Trust,/blogs,informational,lowest medicare premium hidden costs,no,no,~1400,,
/blogs/would-you-bet-7-000-on-your-health-this-year,Would You Bet $7000 on Your Health This Year?,Agency/Trust,/blogs,informational,health insurance deductible risk,no,no,~1400,,
/health-insurance,Health Insurance Broker Miami FL,Health Insurance,/,commercial,health insurance broker miami,no,no,~1400,,Missing: ACA open enrollment guide; health insurance for freelancers Miami; group health insurance small business
/blogs/health-insurance-for-self-employed-professionals-what-are-your-options,Health Insurance for Self-Employed Professionals,Health Insurance,/blogs,commercial,health insurance self employed,no,no,~1400,,
/blogs/er-urgent-care-or-virtual-visit-where-to-go-and-what-itll-cost-you,ER Urgent Care or Virtual Visit?,Health Insurance,/blogs,informational,er vs urgent care vs virtual visit cost,no,no,~1200,,
/blogs/what-to-do-if-you-get-a-surprise-medical-bill,What to Do If You Get a Surprise Medical Bill,Health Insurance,/blogs,informational,surprise medical bill what to do,no,no,~1200,,
/retirement,Retirement Income Planning,Retirement,/,commercial,retirement income planning miami,no,no,~1200,,Missing: annuities explained; social security optimization; retirement planning for teachers florida
/life-insurance,Life Insurance for South Florida Families,Life Insurance,/,commercial,life insurance miami / term life insurance florida,no,no,~1400,,Missing: term life insurance rates florida; whole life insurance miami; key man insurance miami
/blogs/life-insurance-myths-debunked-what-you-really-need-to-know,Life Insurance Myths Debunked,Life Insurance,/blogs,informational,life insurance myths,no,no,~1400,,
/blogs/term-insurance-a-smart-way-to-secure-your-familys-future,Term Insurance: A Smart Way to Secure Your Family's Future,Life Insurance,/blogs,informational,term life insurance explained,no,no,~1200,,
/blogs/understanding-universal-life-insurance-is-it-right-for-you,Understanding Universal Life Insurance,Life Insurance,/blogs,informational,universal life insurance explained,no,no,~1200,,
/blogs/what-type-of-life-insurance-should-miami-small-business-owners-choose,Life Insurance for Miami Small Business Owners,Life Insurance,/blogs,commercial,life insurance small business owners miami,no,no,~1400,,
/critical-illness,Critical Illness Insurance,Critical Illness,/,commercial,critical illness insurance miami / cancer insurance florida,no,no,~900,,
/blogs/why-dental-isnt-covered-by-health-insurance-plans-and-why-that-matters,Why Dental Isn't Covered by Health Insurance Plans,Health Insurance,/blogs,informational,dental not covered health insurance,no,no,~1400,,
/resources/faq/does-medicare-cover-dental,Does Medicare Cover Dental?,Medigap,/resources,informational,does medicare cover dental,yes,no,~800,,
/resources/faq/does-medicare-cover-cataract-surgery,Does Medicare Cover Cataract Surgery?,Medicare Coverage,/resources,informational,does medicare cover cataract surgery,yes,no,~800,,
/resources/faq/does-medicare-plan-g-cover-gym-membership,Does Medicare Plan G Cover Gym Membership?,Medigap,/resources,informational,does medicare plan g cover gym,yes,no,~600,,
/resources/faq/how-does-medicare-cover-colonoscopies,How Does Medicare Cover Colonoscopies?,Medicare Coverage,/resources,informational,does medicare cover colonoscopy,yes,no,~700,,
/resources/faq/will-medicare-cover-my-procedure,Will Medicare Cover My Procedure?,Medicare Coverage,/resources,informational,will medicare cover my procedure,yes,no,~1200,,
/resources/faq/does-medicare-cover-all-my-medical-bills,Does Medicare Cover All My Medical Bills?,Medicare Coverage,/resources,informational,does medicare cover all medical bills,yes,no,~800,,
/resources/faq/does-medicare-cover-travel,Does Medicare Cover Medical Care While Traveling?,Medicare Coverage,/resources,informational,medicare coverage while traveling abroad,yes,no,~700,,
/resources/faq/what-to-expect-from-your-welcome-to-medicare-visit,What to Expect from Your Welcome to Medicare Visit,Medicare Coverage,/resources,informational,welcome to medicare visit,yes,no,~1000,,
/resources/faq/veterans-and-medicare,Veterans and Medicare,Medicare Coverage,/resources,informational,veterans and medicare,yes,no,~800,,
/resources/faq/what-is-a-medicare-savings-program,What Is a Medicare Savings Program?,Medicare Coverage,/resources,informational,medicare savings program,yes,no,~800,,
/watch,Medicare Made Simple Free Webinar,Lead Generation,/,commercial/transactional,medicare made simple webinar / free medicare workshop,no,no,~400,,
/about,About Our Team,Brand/EEAT,/,navigational,a&e insurance agency about,no,no,~600,,
/about/steve,Steve Germain — Founder & Licensed Medicare Broker,Brand/EEAT,/about,navigational,steve germain medicare broker miami,no,no,~800,,
/contact,Contact A&E Insurance Agency,Lead Generation,/,transactional,contact medicare broker miami / schedule medicare consultation,no,no,~400,,
