page_url,current_clicks,current_impressions,current_ctr,current_position,prev_clicks,prev_impressions,clicks_delta,position_delta,top_keyword,keyword_count,device_breakdown_note
/blog/medicare-advantage-vs-medicare-supplement-plans-in-florida-which-is-right-for-you,0,4156,0.00%,18,0,0,0,-18,florida medicare supplement plans comparison (17 pos),28,LEGACY /blog/ URL — 301 redirect to /blogs/ version. 4156 impressions but 0 clicks. Google index lag on canonical.
/retirement/retirement-planning-tools,1,3615,0.03%,8,0,0,+1,-8,how to calculate how much money i need to retire (pos 1),21,LEGACY Webflow URL — catch-all 301 to /retirement. 3615 impressions represent lost traffic from 21 diverse retirement keywords.
/ (homepage),3,3387,0.09%,3,1,0,+2,n/a,ae insurance (pos 5),7,Homepage receives navigational branded traffic. Low CTR on non-branded queries.
/ (homepage — second row),3,2067,0.15%,26,1,0,+2,-4,medicare insurance agency near me (pos 9),14,Appears twice in GSC data — possible device-split or date overlap artifact.
/blog/what-is-the-difference-between-medicare-part-a-and-part-b,0,1992,0.00%,37,0,0,0,-37,what does medicare part a and b cover (309 imp pos 29),1,LEGACY /blog/ URL — 301 redirect. Top query has 309 impressions at pos 29.
/blog/which-medicare-plan-is-better-for-dental-and-vision-coverage,0,1498,0.00%,76,0,0,0,-76,dental and vision plans for seniors on medicare (22 imp pos 77),11,LEGACY /blog/ URL. All queries ranking 59-96 — very deep in results.
/medicare-coverage/medicare-supplement-plans-medigap,0,1396,0.00%,65,0,0,0,-54,medicare supplement plans florida (60 imp pos 81),17,Pillar guide page. Rankings 10-100. Top query: medicare supplement plans florida at pos 81.
/life-insurance/permanent-life-insurance,0,1230,0.00%,79,0,0,0,-79,(none captured),4,LEGACY Webflow URL — 301 to /life-insurance. 1230 impressions lost.
/medicare-coverage/medicare-advantage-vs-medigap,0,1093,0.00%,78,0,0,0,-67,(none captured),14,Pillar guide. Rankings 67-100+.
/medicare-coverage/part-d-prescription-drug-plans,0,964,0.00%,60,0,0,+0,+10,(none captured),15,Slight positive position delta.
/medicare-coverage/understanding-medicare-parts-a-b-c-d,0,926,0.00%,75,0,0,0,-65,(none captured),2,
/retirement/social-security-and-medicare-coordination,2,887,0.23%,9,0,0,+2,-9,social security benefits (pos 9),11,LEGACY Webflow URL — 301 to /retirement. 887 impressions at position 9 — significant lost traffic from social security queries.
/medicare-coverage/medicare-advantage-plans,0,748,0.00%,41,0,0,0,-1,(none captured),9,Slight position change.
/medicare-coverage/medicare-enrollment-and-costs,0,633,0.00%,65,0,0,0,-54,(none captured),4,
/blog/which-medicare-plan-is-best-for-people-with-chronic-conditions-in-florida,0,454,0.00%,27,0,0,0,-27,(none captured),5,LEGACY /blog/ URL — 301 redirect.
/blog/how-does-medicare-part-c-compare-to-original-medicare-in-florida,0,393,0.00%,55,0,0,0,-55,(none captured),1,LEGACY /blog/ URL.
/life-insurance/term-life-insurance,0,309,0.00%,38,0,0,0,-14,(none captured),1,LEGACY Webflow URL — 301 to /life-insurance.
/life-insurance/final-expense-and-guaranteed-issue-insurance,0,212,0.00%,37,0,0,0,-37,(none captured),2,LEGACY Webflow URL — 301 to /life-insurance.
/critical-illness/critical-illness-and-cancer-insurance,0,196,0.00%,52,0,0,0,-52,(none captured),2,LEGACY Webflow URL — 301 to /critical-illness.
/retirement/retirement-income-planning,0,150,0.00%,9,0,0,0,-9,(none captured),1,LEGACY Webflow URL — 301 to /retirement.
/blog-your-spouse-isnt-eligible-for-medicare-yet-now-what/medicare-advantage-vs-medicare-supplement-plans-in-florida-which-is-right-for-you,0,143,0.00%,82,0,0,0,-82,(none captured),7,Malformed Webflow URL — 301 redirect working but Google still showing in index.
/medicare-coverage/medicare-simplified,0,112,0.00%,8,0,0,0,+5,(none captured),3,Positive delta — improving.
/blog/what-is-the-difference-between-hmo-and-ppo-medicare-advantage-plans,0,101,0.00%,74,0,0,0,-74,(none captured),1,LEGACY /blog/ URL.
/critical-illness/hospital-indemnity-plans,0,81,0.00%,38,0,0,0,-38,(none captured),2,LEGACY Webflow URL.
/blog/whats-the-difference-between-medigap-plan-g-vs-plan-n-in-florida,0,81,0.00%,23,0,0,0,-23,(none captured),5,LEGACY /blog/ URL.
/blog/how-does-medicare-advantage-compare-to-medigap-for-travel-coverage,0,80,0.00%,23,0,0,0,-23,(none captured),1,LEGACY /blog/ URL.
/retirement/long-term-care-and-recovery-planning,0,79,0.00%,58,0,0,0,-42,(none captured),8,LEGACY Webflow URL.
/life-insurance/life-insurance-comparison-term-vs-permanent,0,77,0.00%,67,0,0,0,-67,(none captured),3,LEGACY Webflow URL.
/blog/turning-65-in-florida-your-complete-medicare-enrollment-checklist,0,73,0.00%,35,0,0,0,-35,(none captured),2,LEGACY /blog/ URL.
/blog/how-to-find-the-right-medicare-broker-near-me-in-florida,0,62,0.00%,53,0,0,0,-53,(none captured),4,LEGACY /blog/ URL.
/blog/how-a-medicare-broker-near-me-helped-local-seniors-find-better-coverage,0,59,0.00%,41,0,0,0,-41,(none captured),1,LEGACY /blog/ URL.
/blog/medicare-advantage-vs-private-health-insurance-in-florida,0,43,0.00%,41,0,0,0,-41,(none captured),1,LEGACY /blog/ URL.
/blog/life-insurance-myths-debunked-what-you-really-need-to-know,0,42,0.00%,74,0,0,0,-74,(none captured),1,LEGACY /blog/ URL.
/blog/which-medicare-plan-is-better-for-frequent-doctor-visits-in-florida,0,36,0.00%,37,0,0,0,-37,(none captured),1,LEGACY /blog/ URL.
/life-insurance/navigating-life-insurance,0,23,0.00%,54,0,0,0,-41,(none captured),2,LEGACY Webflow URL.
/blog/breaking-down-home-auto-and-life-coverage,0,22,0.00%,67,0,0,0,+2,(none captured),1,LEGACY /blog/ URL. Slight positive position delta.
/blog/er-urgent-care-or-virtual-visit-where-to-go-and-what-itll-cost-you,0,22,0.00%,50,0,0,0,-50,(none captured),1,LEGACY /blog/ URL.
/blog/which-medicare-plan-is-better-for-specialist-visits,0,14,0.00%,11,0,0,0,-11,(none captured),2,LEGACY /blog/ URL.
/blog/which-medicare-plan-has-lower-out-of-pocket-costs,1,13,7.69%,39,0,0,+1,-39,medicare plans cost,2,LEGACY /blog/ URL — actually receiving clicks despite redirect.
/blog/health-insurance-for-self-employed-professionals-what-are-your-options,0,12,0.00%,61,0,0,0,-61,(none captured),2,LEGACY /blog/ URL.
/blog/does-your-health-insurance-cover-nutrition-counseling,0,9,0.00%,48,0,0,0,-48,(none captured),1,LEGACY /blog/ URL.
/blog/concierge-medical-care-a-new-way-to-better-health,0,9,0.00%,34,0,0,0,-34,(none captured),1,LEGACY /blog/ URL.
/blog-your-spouse-isnt-eligible-for-medicare-yet-now-what/whats-the-difference-between-medigap-plan-g-vs-plan-n-in-florida,0,8,0.00%,24,0,0,0,-24,(none captured),1,Malformed URL — redirect working.
/life-insurance/what-is-universal-life-insurance,0,6,0.00%,11,0,0,0,+26,(none captured),2,LEGACY Webflow URL. Significant positive delta (+26 positions).
/blog/questions-to-ask-before-choosing-an-insurance-policy,0,5,0.00%,77,0,0,0,-77,(none captured),1,LEGACY /blog/ URL.
/blog/why-a-medicare-agent-near-me-may-be-better-than-insurance-comparison-websites,0,4,0.00%,8,0,0,0,-8,(none captured),1,LEGACY /blog/ URL.
/blog-your-spouse-isnt-eligible-for-medicare-yet-now-what/how-a-medicare-broker-near-me-helped-local-seniors-find-better-coverage,0,3,0.00%,43,0,0,0,-43,(none captured),1,Malformed URL.
/blog/understanding-your-insurance-options,0,3,0.00%,27,0,0,0,-27,(none captured),1,LEGACY /blog/ URL.
/blog/the-hidden-benefits-of-health-insurance-you-may-not-be-using,0,3,0.00%,7,0,0,0,-7,(none captured),1,LEGACY /blog/ URL.
/our-blog/concierge-medical-care-a-new-way-to-better-health,0,2,0.00%,39,0,0,0,-39,(none captured),1,Legacy /our-blog/ URL — redirect working.
NOTE — GSC PROPERTY NOTE,,,,,,,,,,,GSC property is sc-domain:aeinsurancefl.com. The gsc_get_site_property_performance tool returned a 403 error stating GSC is not enabled for the selected country in this project — device/country breakdown was unavailable. All data above is US-filtered from gsc_get_pages. Total pages in GSC index: 81. Period: 2026-04-01 to 2026-07-10 (current) vs 2026-01-01 to 2026-03-31 (baseline).
